nt n factor policy kernel bw
96 331776 8 4d-mdrange Triad 78.7116
96 331776 16 2d-mdrange Set 191.1703
96 331776 16 2d-mdrange Copy 397.0393
96 331776 16 2d-mdrange Scale 397.5151
96 331776 16 2d-mdrange Add 615.7303
96 331776 16 2d-mdrange Triad 639.1575
96 262144 16 3d-mdrange Set 91.7911
96 262144 16 3d-mdrange Copy 137.8209
96 262144 16 3d-mdrange Scale 135.5888
96 262144 16 3d-mdrange Add 109.5080
96 262144 16 3d-mdrange Triad 94.5188
96 331776 16 4d-mdrange Set 24.3769
96 331776 16 4d-mdrange Copy 51.4960
96 331776 16 4d-mdrange Scale 35.2286
96 331776 16 4d-mdrange Add 26.8159
96 331776 16 4d-mdrange Triad 25.1503
96 331776 32 2d-mdrange Set 127.3368
96 331776 32 2d-mdrange Copy 242.9036
96 331776 32 2d-mdrange Scale 213.5067
96 331776 32 2d-mdrange Add 317.9454
96 331776 32 2d-mdrange Triad 288.5531
96 262144 32 3d-mdrange Set 40.7317
96 262144 32 3d-mdrange Copy 67.7397
96 262144 32 3d-mdrange Scale 67.7791
96 262144 32 3d-mdrange Add 35.8890
96 262144 32 3d-mdrange Triad 38.6237
96 331776 32 4d-mdrange Set 25.7670
96 331776 32 4d-mdrange Copy 48.7812
96 331776 32 4d-mdrange Scale 46.5516
96 331776 32 4d-mdrange Add 26.4858
96 331776 32 4d-mdrange Triad 19.5201
96 331776 64 2d-mdrange Set 109.9005
96 331776 64 2d-mdrange Copy 115.3076
96 331776 64 2d-mdrange Scale 142.2329
96 331776 64 2d-mdrange Add 215.7951
96 331776 64 2d-mdrange Triad 163.1886
96 262144 64 3d-mdrange Set 13.4355
96 262144 64 3d-mdrange Copy 32.8375
96 262144 64 3d-mdrange Scale 23.9725
96 262144 64 3d-mdrange Add 16.0113
96 262144 64 3d-mdrange Triad 15.9967
96 331776 64 4d-mdrange Set 26.0902
96 331776 64 4d-mdrange Copy 50.6523
96 331776 64 4d-mdrange Scale 39.8096
96 331776 64 4d-mdrange Add 26.1359
96 331776 64 4d-mdrange Triad 25.1933
96 1048576 1 2d-mdrange Set 1390.4538
96 1048576 1 2d-mdrange Copy 2510.8075
96 1048576 1 2d-mdrange Scale 2294.7909
96 1048576 1 2d-mdrange Add 3150.8481
96 1048576 1 2d-mdrange Triad 3145.7280
96 2097152 1 3d-mdrange Set 1996.5746
96 2097152 1 3d-mdrange Copy 3532.0455
96 2097152 1 3d-mdrange Scale 3031.3878
96 2097152 1 3d-mdrange Add 4726.4201
96 2097152 1 3d-mdrange Triad 4313.2786
96 1048576 1 4d-mdrange Set 1272.9299
96 1048576 1 4d-mdrange Copy 1747.2627
96 1048576 1 4d-mdrange Scale 1315.3443
96 1048576 1 4d-mdrange Add 1717.8037
96 1048576 1 4d-mdrange Triad 1669.5962
96 1048576 2 2d-mdrange Set 1020.2637
96 1048576 2 2d-mdrange Copy 1511.5971
96 1048576 2 2d-mdrange Scale 1669.7070
96 1048576 2 2d-mdrange Add 2362.7663
96 1048576 2 2d-mdrange Triad 1813.2303
96 2097152 2 3d-mdrange Set 529.7511
96 2097152 2 3d-mdrange Copy 676.4734
96 2097152 2 3d-mdrange Scale 584.5313
96 2097152 2 3d-mdrange Add 778.0076
96 2097152 2 3d-mdrange Triad 685.0360
96 1048576 2 4d-mdrange Set 369.8681
96 1048576 2 4d-mdrange Copy 629.4682
96 1048576 2 4d-mdrange Scale 453.8430
96 1048576 2 4d-mdrange Add 551.7974
96 1048576 2 4d-mdrange Triad 560.7733
96 1048576 4 2d-mdrange Set 745.9193
96 1048576 4 2d-mdrange Copy 992.9109
96 1048576 4 2d-mdrange Scale 1103.9821
96 1048576 4 2d-mdrange Add 1379.2516
96 1048576 4 2d-mdrange Triad 1158.9677
96 2097152 4 3d-mdrange Set 303.1443
96 2097152 4 3d-mdrange Copy 423.0261
96 2097152 4 3d-mdrange Scale 328.4755
96 2097152 4 3d-mdrange Add 403.1660
96 2097152 4 3d-mdrange Triad 372.7773
96 1048576 4 4d-mdrange Set 230.7352
96 1048576 4 4d-mdrange Copy 326.6020
96 1048576 4 4d-mdrange Scale 286.9568
96 1048576 4 4d-mdrange Add 319.8016
96 1048576 4 4d-mdrange Triad 294.1617
96 1048576 8 2d-mdrange Set 547.4163
96 1048576 8 2d-mdrange Copy 848.2338
96 1048576 8 2d-mdrange Scale 737.7843
96 1048576 8 2d-mdrange Add 1069.7481
96 1048576 8 2d-mdrange Triad 940.9543
96 2097152 8 3d-mdrange Set 586.0217
96 2097152 8 3d-mdrange Copy 541.3752
96 2097152 8 3d-mdrange Scale 439.0677
96 2097152 8 3d-mdrange Add 558.7129
96 2097152 8 3d-mdrange Triad 393.6866
96 1048576 8 4d-mdrange Set 80.1871
96 1048576 8 4d-mdrange Copy 181.0465
96 1048576 8 4d-mdrange Scale 136.8541
96 1048576 8 4d-mdrange Add 90.6756
96 1048576 8 4d-mdrange Triad 93.9819
96 1048576 16 2d-mdrange Set 763.5725
96 1048576 16 2d-mdrange Copy 1200.3446
96 1048576 16 2d-mdrange Scale 1365.6667
96 1048576 16 2d-mdrange Add 1434.6858
96 1048576 16 2d-mdrange Triad 1107.5045
96 2097152 16 3d-mdrange Set 477.8608
96 2097152 16 3d-mdrange Copy 501.0966
96 2097152 16 3d-mdrange Scale 443.8710
96 2097152 16 3d-mdrange Add 519.7886
96 2097152 16 3d-mdrange Triad 458.1435
96 1048576 16 4d-mdrange Set 39.9393
96 1048576 16 4d-mdrange Copy 87.3068
96 1048576 16 4d-mdrange Scale 68.4790
96 1048576 16 4d-mdrange Add 44.0658
96 1048576 16 4d-mdrange Triad 45.0593
96 1048576 32 2d-mdrange Set 532.4748
96 1048576 32 2d-mdrange Copy 765.1745
96 1048576 32 2d-mdrange Scale 679.8450
96 1048576 32 2d-mdrange Add 730.2061
96 1048576 32 2d-mdrange Triad 730.6938
96 2097152 32 3d-mdrange Set 139.4812
96 2097152 32 3d-mdrange Copy 270.5304
96 2097152 32 3d-mdrange Scale 237.6242
96 2097152 32 3d-mdrange Add 229.0947
96 2097152 32 3d-mdrange Triad 157.2215
96 1048576 32 4d-mdrange Set 14.5697
96 1048576 32 4d-mdrange Copy 29.9356
96 1048576 32 4d-mdrange Scale 26.3354
96 1048576 32 4d-mdrange Add 20.2347
96 1048576 32 4d-mdrange Triad 20.7196
