nt n factor policy kernel bw
128 1048576 2 4d-mdrange Triad 431.5054
128 1048576 4 2d-mdrange Set 205.6031
128 1048576 4 2d-mdrange Copy 393.0932
128 1048576 4 2d-mdrange Scale 381.2137
128 1048576 4 2d-mdrange Add 549.5801
128 1048576 4 2d-mdrange Triad 521.6796
128 2097152 4 3d-mdrange Set 316.8502
128 2097152 4 3d-mdrange Copy 518.4474
128 2097152 4 3d-mdrange Scale 452.3319
128 2097152 4 3d-mdrange Add 612.2327
128 2097152 4 3d-mdrange Triad 620.9108
128 1048576 4 4d-mdrange Set 66.1928
128 1048576 4 4d-mdrange Copy 133.0353
128 1048576 4 4d-mdrange Scale 92.1719
128 1048576 4 4d-mdrange Add 147.9377
128 1048576 4 4d-mdrange Triad 148.5577
128 1048576 8 2d-mdrange Set 108.9557
128 1048576 8 2d-mdrange Copy 176.6767
128 1048576 8 2d-mdrange Scale 175.4553
128 1048576 8 2d-mdrange Add 253.7875
128 1048576 8 2d-mdrange Triad 271.0053
128 2097152 8 3d-mdrange Set 217.2624
128 2097152 8 3d-mdrange Copy 266.3663
128 2097152 8 3d-mdrange Scale 317.9581
128 2097152 8 3d-mdrange Add 442.6667
128 2097152 8 3d-mdrange Triad 452.0495
128 1048576 8 4d-mdrange Set 44.5442
128 1048576 8 4d-mdrange Copy 59.9009
128 1048576 8 4d-mdrange Scale 48.5379
128 1048576 8 4d-mdrange Add 69.5798
128 1048576 8 4d-mdrange Triad 64.1212
128 1048576 16 2d-mdrange Set 78.4715
128 1048576 16 2d-mdrange Copy 133.2784
128 1048576 16 2d-mdrange Scale 148.6143
128 1048576 16 2d-mdrange Add 214.0843
128 1048576 16 2d-mdrange Triad 214.0115
128 2097152 16 3d-mdrange Set 148.7342
128 2097152 16 3d-mdrange Copy 196.5097
128 2097152 16 3d-mdrange Scale 271.0133
128 2097152 16 3d-mdrange Add 396.6214
128 2097152 16 3d-mdrange Triad 283.4931
128 1048576 16 4d-mdrange Set 38.6285
128 1048576 16 4d-mdrange Copy 57.9100
128 1048576 16 4d-mdrange Scale 55.6252
128 1048576 16 4d-mdrange Add 58.8395
128 1048576 16 4d-mdrange Triad 56.7726
128 1048576 32 2d-mdrange Set 64.4380
128 1048576 32 2d-mdrange Copy 61.5809
128 1048576 32 2d-mdrange Scale 64.8565
128 1048576 32 2d-mdrange Add 97.9131
128 1048576 32 2d-mdrange Triad 103.5149
128 2097152 32 3d-mdrange Set 65.5076
128 2097152 32 3d-mdrange Copy 44.7741
128 2097152 32 3d-mdrange Scale 46.5042
128 2097152 32 3d-mdrange Add 39.1933
128 2097152 32 3d-mdrange Triad 33.7776
128 1048576 32 4d-mdrange Set 11.2702
128 1048576 32 4d-mdrange Copy 17.7220
128 1048576 32 4d-mdrange Scale 14.7929
128 1048576 32 4d-mdrange Add 21.9505
128 1048576 32 4d-mdrange Triad 20.7939
128 1048576 64 2d-mdrange Set 209.2444
128 1048576 64 2d-mdrange Copy 364.7142
