nt n factor policy kernel bw
32 64000 8 3d-mdrange Triad 113.4333
32 65536 8 4d-mdrange Set 40.2370
32 65536 8 4d-mdrange Copy 75.6548
32 65536 8 4d-mdrange Scale 75.0591
32 65536 8 4d-mdrange Add 109.2267
32 65536 8 4d-mdrange Triad 114.9754
32 65536 16 2d-mdrange Set 42.1453
32 65536 16 2d-mdrange Copy 80.5977
32 65536 16 2d-mdrange Scale 79.0781
32 65536 16 2d-mdrange Add 119.8829
32 65536 16 2d-mdrange Triad 120.2495
32 64000 16 3d-mdrange Set 38.1236
32 64000 16 3d-mdrange Copy 72.9865
32 64000 16 3d-mdrange Scale 72.5212
32 64000 16 3d-mdrange Add 105.6396
32 64000 16 3d-mdrange Triad 114.6269
32 65536 16 4d-mdrange Set 36.8439
32 65536 16 4d-mdrange Copy 70.7064
32 65536 16 4d-mdrange Scale 70.5162
32 65536 16 4d-mdrange Add 100.5603
32 65536 16 4d-mdrange Triad 116.5084
32 65536 32 2d-mdrange Set 39.2167
32 65536 32 2d-mdrange Copy 74.6317
32 65536 32 2d-mdrange Scale 73.6877
32 65536 32 2d-mdrange Add 105.4835
32 65536 32 2d-mdrange Triad 120.9895
32 64000 32 3d-mdrange Set 37.1284
32 64000 32 3d-mdrange Copy 72.1127
32 64000 32 3d-mdrange Scale 71.2100
32 64000 32 3d-mdrange Add 101.0526
32 64000 32 3d-mdrange Triad 114.5414
32 65536 32 4d-mdrange Set 36.6123
32 65536 32 4d-mdrange Copy 66.3656
32 65536 32 4d-mdrange Scale 66.1145
32 65536 32 4d-mdrange Add 98.1751
32 65536 32 4d-mdrange Triad 115.4819
32 65536 64 2d-mdrange Set 39.9915
32 65536 64 2d-mdrange Copy 75.1667
32 65536 64 2d-mdrange Scale 74.4727
32 65536 64 2d-mdrange Add 104.3705
32 65536 64 2d-mdrange Triad 120.7110
32 64000 64 3d-mdrange Set 39.8754
32 64000 64 3d-mdrange Copy 76.0773
32 64000 64 3d-mdrange Scale 76.2472
32 64000 64 3d-mdrange Add 108.1690
32 64000 64 3d-mdrange Triad 120.4611
32 331776 1 2d-mdrange Set 166.9313
32 331776 1 2d-mdrange Copy 318.2504
32 331776 1 2d-mdrange Scale 319.5916
32 331776 1 2d-mdrange Add 471.9991
32 331776 1 2d-mdrange Triad 474.8419
32 262144 1 3d-mdrange Set 136.0903
32 262144 1 3d-mdrange Copy 268.3496
32 262144 1 3d-mdrange Scale 266.4742
32 262144 1 3d-mdrange Add 400.9851
32 262144 1 3d-mdrange Triad 390.0469
32 331776 1 4d-mdrange Set 156.4059
32 331776 1 4d-mdrange Copy 303.8416
32 331776 1 4d-mdrange Scale 301.6145
32 331776 1 4d-mdrange Add 442.6139
32 331776 1 4d-mdrange Triad 437.7473
32 331776 2 2d-mdrange Set 165.6809
32 331776 2 2d-mdrange Copy 319.9769
32 331776 2 2d-mdrange Scale 319.7841
32 331776 2 2d-mdrange Add 474.2480
32 331776 2 2d-mdrange Triad 473.0927
32 262144 2 3d-mdrange Set 138.4259
32 262144 2 3d-mdrange Copy 266.3050
32 262144 2 3d-mdrange Scale 265.1267
32 262144 2 3d-mdrange Add 391.7469
32 262144 2 3d-mdrange Triad 388.3615
32 331776 2 4d-mdrange Set 173.9324
32 331776 2 4d-mdrange Copy 333.2339
32 331776 2 4d-mdrange Scale 334.0517
32 331776 2 4d-mdrange Add 482.8466
32 331776 2 4d-mdrange Triad 445.0880
32 331776 4 2d-mdrange Set 168.9502
32 331776 4 2d-mdrange Copy 322.3082
32 331776 4 2d-mdrange Scale 325.2706
32 331776 4 2d-mdrange Add 471.9991
32 331776 4 2d-mdrange Triad 475.0686
32 262144 4 3d-mdrange Set 134.9519
32 262144 4 3d-mdrange Copy 260.5158
32 262144 4 3d-mdrange Scale 263.9587
32 262144 4 3d-mdrange Add 387.6675
32 262144 4 3d-mdrange Triad 387.4049
32 331776 4 4d-mdrange Set 169.4897
32 331776 4 4d-mdrange Copy 327.0743
32 331776 4 4d-mdrange Scale 325.6497
32 331776 4 4d-mdrange Add 459.9748
32 331776 4 4d-mdrange Triad 435.8305
32 331776 8 2d-mdrange Set 165.4743
32 331776 8 2d-mdrange Copy 317.4700
32 331776 8 2d-mdrange Scale 318.2504
32 331776 8 2d-mdrange Add 472.8399
32 331776 8 2d-mdrange Triad 473.6838
32 262144 8 3d-mdrange Set 136.8005
32 262144 8 3d-mdrange Copy 242.7259
32 262144 8 3d-mdrange Scale 240.3613
32 262144 8 3d-mdrange Add 319.6878
32 262144 8 3d-mdrange Triad 386.6668
32 331776 8 4d-mdrange Set 156.2218
32 331776 8 4d-mdrange Copy 272.0869
32 331776 8 4d-mdrange Scale 272.0869
32 331776 8 4d-mdrange Add 372.4333
32 331776 8 4d-mdrange Triad 436.0692
32 331776 16 2d-mdrange Set 163.9412
32 331776 16 2d-mdrange Copy 284.4810
32 331776 16 2d-mdrange Scale 285.0922
32 331776 16 2d-mdrange Add 377.7336
32 331776 16 2d-mdrange Triad 472.5593
32 262144 16 3d-mdrange Set 105.1731
32 262144 16 3d-mdrange Copy 177.3490
